Date,Hour,Total,Flow,Dam,Wind,Solar,Jeo,ren/tot
10.08.2022,6,34.98354,1.0137,1.89721,6.28604,0.09831999999999999,1.08602,29.67478419851164
10.08.2022,7,36.76981,1.12076,2.4478,6.01346,0.49193000000000003,1.04084,30.228032181836127
10.08.2022,8,41.16651,1.14392,5.14071,5.72001,0.9026799999999999,1.01311,33.81493840502874
10.08.2022,9,42.966339999999995,1.16772,6.3151,5.56643,1.07056,0.99005,35.16673749730604
10.08.2022,10,43.63487,1.24567,6.48852,5.5226999999999995,1.1511,0.96013,35.219813878212534
10.08.2022,11,44.2545,1.23179,7.1428,5.47595,1.2018199999999999,0.94439,36.14717147408738
10.08.2022,12,42.73146,1.151,6.48617,5.5498,1.19914,0.89973,35.7718645700381
10.08.2022,13,43.52274,1.2453599999999998,6.67889,6.02545,1.15901,0.89703,36.77557984630563
10.08.2022,14,45.812580000000004,1.48284,7.3421,6.636979999999999,1.10901,0.8847999999999999,38.10248189471101
10.08.2022,15,46.16493,1.4841199999999999,7.46036,7.1041099999999995,1.02183,0.87786,38.87860330341668
10.08.2022,16,46.734010000000005,1.54549,7.7205200000000005,7.54646,0.91967,0.86682,39.79748367409516
10.08.2022,17,46.54383,1.57632,7.685899999999999,7.93087,0.67712,0.86115,40.244560879497875
10.08.2022,18,45.37708,1.45716,7.553520000000001,8.1395,0.2548,0.87534,40.285359921793116
10.08.2022,19,45.14382,1.36761,7.6889899999999995,8.254430000000001,0.01491,0.89358,40.3588353843339
10.08.2022,20,46.48487,1.42316,8.9903,8.24546,0.0001,0.92825,42.13687163156527
10.08.2022,21,46.018260000000005,1.4236199999999999,8.8215,8.10275,0.0,0.95598,41.94823967703255
10.08.2022,22,44.959379999999996,1.45887,8.02427,8.066600000000001,0.0,0.98151,41.21776145489551
10.08.2022,23,43.288650000000004,1.32205,7.45227,8.00508,0.0,0.9948899999999999,41.059931413892556
11.08.2022,0,41.32889,1.2456800000000001,4.88354,8.21133,0.0,0.9931,37.10152873691986
11.08.2022,1,39.68449,1.1878900000000001,4.14495,7.9589300000000005,0.0,1.00343,36.022133584178604
11.08.2022,2,38.20221,1.15601,4.6692,7.85717,0.0,1.02725,38.50465719129862
11.08.2022,3,37.45219,1.0527,4.55747,7.73775,0.0,1.03999,38.41673878082963
11.08.2022,4,36.7295,1.0384200000000001,3.98744,7.68175,0.00047,1.04033,37.431519623191164
11.08.2022,5,35.808279999999996,1.03342,3.10156,7.61932,0.00725,1.0546900000000001,35.791275090565655
11.08.2022,6,34.99573,1.08977,2.22005,7.54723,0.09597,1.0563,34.316529473738655
11.08.2022,7,36.49225,1.24866,3.04837,7.04857,0.45299,1.0535999999999999,35.21895744986949
11.08.2022,8,40.809760000000004,1.39133,5.81085,6.60859,0.86153,1.01829,38.44813103532096
11.08.2022,9,42.523120000000006,1.38047,6.856529999999999,6.08273,1.05992,0.99087,38.49792771555802
11.08.2022,10,42.76125,1.37259,6.88249,5.73716,1.158,0.9740700000000001,37.70776111549592
11.08.2022,11,43.52964,1.52543,7.19524,5.78446,1.18547,0.95597,38.24191975858289
11.08.2022,12,41.83556,1.42736,6.514270000000001,5.80204,1.16984,0.9345800000000001,37.88186413663401
11.08.2022,13,43.00539,1.488,6.452,5.81809,1.14538,0.9204199999999999,36.79513195904048
11.08.2022,14,44.582860000000004,1.6629500000000002,7.3651,5.90142,1.12028,0.9051,38.02997385093733
11.08.2022,15,45.12536,1.65343,7.30037,6.138649999999999,1.0306,0.88918,37.69993192298078
11.08.2022,16,45.75773,1.68235,7.4633199999999995,6.46201,0.9230900000000001,0.85841,38.0027156067401
11.08.2022,17,45.456160000000004,1.61169,7.851439999999999,6.78214,0.64979,0.85782,39.054948768219745
11.08.2022,18,45.02088,1.58914,7.506939999999999,6.89764,0.24675999999999998,0.88285,38.034196577232606
11.08.2022,19,45.210269999999994,1.4845,7.7293,6.8122799999999994,0.020030000000000003,0.90392,37.49154782751795
11.08.2022,20,45.89984,1.5293299999999999,8.071579999999999,6.7318299999999995,5e-05,0.92788,37.60507661900346
11.08.2022,21,45.51883,1.61187,7.72016,6.70194,0.0,0.9568099999999999,37.326926021604685
11.08.2022,22,44.540330000000004,1.39278,7.56514,6.3019300000000005,0.0,0.97442,36.448472653884686
11.08.2022,23,42.83325,1.3774600000000001,7.14109,5.839689999999999,0.0,0.9935900000000001,35.84091797843965
12.08.2022,0,40.75868,1.18548,5.32289,5.764060000000001,0.0,1.00575,32.57755157919736
12.08.2022,1,39.336769999999994,1.10675,4.79018,5.65994,0.0,1.01187,31.95163202265972
12.08.2022,2,37.867830000000005,1.06978,4.07243,5.58254,0.0,0.9974400000000001,30.955536665290825
12.08.2022,3,37.04329,1.0009,3.28008,5.61749,0.0,1.00068,29.42273755921788
12.08.2022,4,36.53708,0.99767,3.0928,5.68327,0.00027,1.02501,29.55633017197871
12.08.2022,5,35.42785,1.00771,2.4708,5.879659999999999,0.0069299999999999995,1.04511,29.3842556068178
12.08.2022,6,34.63325,1.08192,1.7157200000000001,5.915229999999999,0.09539,1.05335,28.47439960153898
12.08.2022,7,36.347739999999995,1.13697,2.37903,5.63124,0.46462,1.04158,29.30977276716517
12.08.2022,8,40.4976,1.27576,5.29575,5.22274,0.88244,1.0147599999999999,33.80805282288333
12.08.2022,9,42.18804,1.31924,6.5578199999999995,5.0410699999999995,1.0733499999999998,0.99156,35.51489948336068
12.08.2022,10,42.80821,1.40721,6.81597,4.68511,1.1663,0.9627,35.12711697125387
12.08.2022,11,43.50679,1.45265,7.33928,4.524,1.20854,0.9452200000000001,35.556955592448894
12.08.2022,12,41.92285,1.3444200000000002,6.64146,4.5206,1.21049,0.92563,34.92749180935934
12.08.2022,13,41.73292,1.31796,6.47497,4.40822,1.2009,0.90224,34.275794744292995
12.08.2022,14,44.30149,1.6406500000000002,7.69555,4.4204,1.1475199999999999,0.87785,35.62401625769246
12.08.2022,15,44.954519999999995,1.77683,8.02182,4.57811,1.08019,0.87602,36.33220864108882
12.08.2022,16,45.64878,1.7392699999999999,8.4515,4.8866700000000005,0.93823,0.87009,36.990605225375134
12.08.2022,17,45.67346,1.68547,8.4832,5.24322,0.67801,0.87907,37.15280164892259
12.08.2022,18,45.005120000000005,1.6522999999999999,8.327549999999999,5.379689999999999,0.25118,0.89266,36.67000554603565
